date,total_customers,la,ie,av,vc,rv,sb,oc
7/28/2022,-0.3571428571,-0.5,,,-0.5,,,-0.5
7/29/2022,-0.1470588235,0,,,-0.25,0,,0
7/30/2022,-0.1428571429,,,,,,0,
7/31/2022,-0.25,,-0.5,,,0,0,
8/1/2022,-0.1842105263,,,-0.5,0.5,,,
8/2/2022,-0.1206896552,-0.5,0,,0,-0.5,,-0.25
8/3/2022,-0.2307692308,-0.25,-0.5,,,,-0.5,-0.5
8/4/2022,-0.1875,0,0,0,-0.25,0,-0.2,-0.25
8/5/2022,-0.2142857143,,,-0.5,0,-0.5,-0.25,
8/6/2022,-0.125,,0,,,,,0
8/7/2022,-0.2857142857,,,,,,,
8/8/2022,-0.3125,-0.5,-0.5,,0,-0.1,-0.3333333333,
8/9/2022,-0.1944444444,0,0.5,,0,,,0
8/10/2022,-0.05,0,,,,,,0
8/11/2022,-0.1071428571,,,,0,,0.08333333333,
8/12/2022,0,,0,,,,0,
